,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
12,Computational Analysis of Spatial Multi-omics Data,"Spatial transcriptomics is a cutting-edge technology that allows researchers to study the gene expression patterns within tissues in their native spatial context. Many diseases, including cancer, are characterized by significant heterogeneity within tissues. The intern will participate in the development of machine learning algorithms and software tools for quantifying the immune cell phenotypes from tumor tissue images.","The intern will have the opportunity to learn bioinformatics software development process, and prepare for a possible career in this exciting field. He/she will have the opportunity to work in a highly interdisciplinary and stimulating environment, and learn how computational biology can help clinicians to fight cancers.","The candidate will design, program, and test software tools for storing and analyzing molecular profiles and tissue images collected from cancer patients. He/she will also have to perform research on current clustering algorithms, and benchmark the performance of these methods.","The intern must have taken undergraduate-level courses in computational biology/bioinformatics, genomics, and machine learning. He/she must be proficient in R, Bioconductor, Python, and comfortable to work under the Linux environment. Prior knowledge/training in cell biology, image processing, or web programming (HTML and Javascript) are preferred but not required.","The intern will develop novel computational methods and tools for analyzing multiplex tissue images, and spatial transcriptomic and metabolomic data collected from cancer patients. ",BII,Cellular Image Informatics Division,Loo Lit Hsin,"30 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,1.0
13,Generative AI for Recommender Systems: A New Frontier in Personalized Content,"Recommender systems are essential to our digital lives, providing us with personalized suggestions for products, movies, music, and more. But what if recommender systems could be even better, using the power of generative AI to create new content that is tailored to our individual needs and preferences? In this project, we will explore how to apply generative AI techniques to enhance the performance of recommender systems and produce personalized content on demand. We will develop new algorithms and models that can learn from user data to generate personalized recommendations and content that is both relevant and engaging. This is an emerging research area with the potential to revolutionize the way we interact with the digital world. Our project will help to advance the state-of-the-art in generative AI for recommender systems and personalized content creation.","1). Develop a prototype of recommender system and obain ""hands-on"" experiences of the generative AI techniques. 
2). Submit one top-tier conference/journal paper when the project finishes.","1) Literature review
2) Implement the Generative AI algorithims with python and prompts 
3) Prepare a report/paper draft based on the experimental results","python language, basic machine learning knowledge","Read the related papers, conduct experiments and learn to write the academic reports, have weekly discussions",CFAR,CFAR,"Victor, Shanshan Feng","1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Computing & Information Sciences,1.0
14,Transcriptomic Synergy: Improving Short-Read Data with Long-Read Innovations,"Long-read sequencing has ushered in a revolutionary era, offering an unprecedented level of accuracy in deciphering the intricate transcriptomic landscapes of various organisms. With the ability to identify novel isoforms, reduce transcript quantification ambiguity, and pinpoint major gene isoforms, it has undoubtedly transformed our understanding of genomics. However, despite these remarkable advancements, long-read data remains relatively scarce in comparison to the vast reservoir of historical short-read sequencing data. Regrettably, short-read data falls short of harnessing the full potential of long-reads.  What if we could bridge this technological gap and harness the insights gleaned from long-read sequencing to enhance the value of existing short-read datasets? This exciting endeavor holds the promise of reinvigorating archived data, elevating its isoform-quantification capabilities, and paving the way for a cost-effective means of extending long-read experiments across multiple replicates. Join us in this transformative journey as we unravel the untapped potential of transcriptomic data, revolutionizing the way we explore genomics.","Bioinformatics Skills: Gain proficiency in bioinformatics tools and data analysis using Python and R.
Transcriptomics Knowledge: Learn about transcriptomics, including sequencing technologies and gene expression.
Data Analysis Expertise: Master data analysis, quality control, and differential expression analysis.
Version Control: They may learn to use version control systems like Git to collaborate on code and track changes, ensuring reproducibility and collaboration with other team members.  
Data Handling: Students will become skilled in working with large datasets, including data cleaning, preprocessing, and transformation, which are important aspects of software engineering for data analysis.","Access large short and long read datasets 
Develop a method to use long-read annotations for short-read quantification
Writing and iterating on unit tests
Maintain detailed records of experiments, protocols, and results.
Convey research insights to team members and, potentially, to the broader scientific community.

","Bioinformatics Skills: Basic knowledge of bioinformatics tools and R is important for data analysis and processing.
An elementary understanding of genetics is helpful","Join our team for your internship project, where you'll contribute to a pioneering project aimed at bridging long-read and short-read sequencing technologies. Your role includes data analysis, integration of sequencing methods, data retrieval, experimental support, and project documentation. Collaborate with the research team, enhance your problem-solving skills, and improve your scientific communication. This is an opportunity to learn, grow, and make a real impact in genomics research. ",GIS,Laboratory of Computational Transcriptomics,Jonathan Goeke,"60 Biopolis Street, Genome, #02-01, Singapore 138672",Computing & Information Sciences,1.0
15,Development of a novel diagnostic tool for antibody responses to vaccines,"Substantial variation in antibody responses to vaccines between different people has been observed for multiple vaccines, including COVID-19 mRNA vaccines. However, there is no diagnostic tool to predict antibody response to vaccines. This project aims to build predictive models using machine learning methods and develop a diagnostic tool for clinical use. ","Upon completing the project, the student will gain in-depth knowledge about vaccine and immunity. The student will be equipped with wet lab and/or dry lab skills. The student will also learn how scientists collaborate with clinicians to improve human health. ",The student will be trained for wet lab or/and dry lab skills. Wet lab) The student will work with the team to learn molecular biology and conduct experiments. or/and Dry lab) The student will learn and use machine learning methods to build predictive models.  3) The student will have a final presentation,"Background or experience in immunology, bioinformatics, computer biology, or computer science will be preferable. ","The student will work with the team to conduct molecular biology experiments, or/and learn machine learning to build predictive models. ",ID Labs,Microbial Immunity Lab,Chen Hsiu-Yi,"8A Biomedical Grove, #05-13 Immunos Building, Singapore 138648 ",Biomedical Sciences,1.0
16,Large Language Models Survey.,"This research proposal outlines a plan to conduct an extensive survey on large language models, focusing on three critical dimensions: advanced representation learning, model capabilities, and prompting mechanisms. 
The primary aim is to synthesize the current state-of-the-art, identify gaps in knowledge, and propose future directions for research and development. By systematically evaluating the existing literature and methodologies, this study aims to provide a holistic understanding of the landscape of large language models and their implications for various domains.","1.Complete a survey draft, providing a comprehensive overview of advanced representation learning in large language models, their capabilities, and the role of prompting.
2. Identification of current challenges, reasoning, robustness, fairness, knowledge gaps, and potential biases in existing models and methodologies.","	Literature search
	Algorithm Implementation
	Experimental result analysis","	Background in computer science/engineering, computer vision, natural language processing, etc.
	Proficient in programming: Pytorch, TensorFlow","	Literature search
	Algorithm Implementation
	Experimental result analysis",IHPC,CFAR,Yan Ming,"1 Fusionopolis Way, #16-16, Connexis North Tower",Computing & Information Sciences,1.0
17,Video-conditioned Reasoning with Large visual-language models,"The aim of this project is to investigate how large visual-language models perform on reasoning. For example, how ",1. The ability to read scientific literature and understand how large video-language models are constructed and trained. 2.  Understanding the challenges in video-question answering and how they are addressed through video-language models. 3. Building a video-language model for video-question answering. ,1. Reading literature about video-question answering and visual-language models. 2. Reproducing the results in existing literature for video-question answering. 3. Discussion and implementation of any new ideas for video-question answering.,"Mathematical background such as matrix operations, linear algebra (preferred but not necessary). Basic coding skills in Python. ","Large language models such as ChatGPT will become more powerful if we can input images and videos as input along with the questions. Video-language models are a way to answer questions about videos and assistive robots can use these models to predict a person's actions to help them. In this project, we will develop video-language models that answer questions such as what will happen after an event in a video.",IHPC,SCC,Debaditya Roy,"16, Connexis North, Fusionopolis One, Singapore 138686 ",Computing & Information Sciences,1.0
18,Fast Adaptive Imitation via Behavior Foundation Models,"Imitation learning (IL) aims at producing agents that can imitate any behavior given a few expert demonstrations. IL algorithms achieve impressing results in challenging domains such as autonomous driving, complex robotics tasks, and virtual character animation. Yet existing approaches require many demonstrations and/or runing reinforcement learning algorithms for each new imitation task. This project aims to leverage recent RL foundation models to imitate any expert behavior and adapt to novel tasks instantly with just a few demonstrations and no need for RL or finetuning. ","The student obtains a opportunity of participating a interesting and challenging research project. The student will gain essential research abilities including idea formulation, algorithm implementation, presentation and paper writing. "," Idea discussion; 
 Algorithm design and implementation; 
 Experimental evaluation; 
 ßPaper writing and revising"," Previous research experience is preferred - has published at least one paper in machine learning, reinforcement learning, imitation learning or related topics; 
 Good coding ability - can implement algorithms using pytorch; 
 Good presentation ability - can present ideas and write papers in English logically and smoothly."," Review papers in the research area;
 Participating idea discussion; 
 Formulate ideas and implement algorithms; 
 Experimentally evaluate the proposed methods and analyze the results;
 Summarize the idea and results into a paper. ",IHPC,CFAR,Yu Xingrui,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore 138632",Computing & Information Sciences,1.0
19,Physics-informed learning in fusion turbulence,"Understanding the plasma dynamics in confined plasmas is crucial to the successful design of a nuclear fusion reactor, which promises sustainable baseload electricity generation. Machine learning tools, such as neural networks, can be combined with physics constraints and governing equations to accelerate understanding of these complex systems. We will use numerical simulations of reduced plasma systems derived from the gyrokinetic equations to train physics-informed neural networks and assess their effectiveness in modelling such systems.",Understand how plasma simulations are performed; Understand how physics-informed neural networks work and how to train them for fusion-relevant problems; Practise conducting scientific analysis to assess neural network effectiveness and trends underlying simulation data,Design and perform numerical simulations of reduced plasma systems relevant to nuclear fusion reactor operation; Train neural networks using simulation data to model such plasma systems; Assess network training effectiveness and identify pertinent trends in simulation data,Computational/programming skills and interest in plasma dynamics,The student will need to gain familiarity with machine learning software used to implement physics-informed neural networks. He/she will perform simulations of reduced plasma systems to generate data for neural network training. The student will then assess the effectiveness of the training process and determine the network's ability to capture key trends.,IHPC,Fluid Dynamics,Ronald Chan,"1 Fusionopolis Way, #16-16 Connexis",Physical Sciences,1.0
20,Data-driven modelling for weather nowcasting,"Predicting precipitation in the next hour or two, or weather nowcasting, is crucial to effective operations in the aviation and maritime industries. Machine learning tools, such as neural networks, can be utilised to accelerate understanding of convective weather phenomena. We will apply these tools to satellite and radar images and assess their effectiveness in modelling the genesis and transport of weather systems.",Understand how rainfall is measured and predicted; Understand how convolutional neural networks work and how to train them for weather-relevant problems; Practise conducting scientific analysis to assess neural network effectiveness and trends underlying observation data,Train neural networks using observation data to model weather systems; Assess network training effectiveness and identify pertinent trends in observation data,Computational/programming skills and interest in weather forecasting,The student will need to gain familiarity with machine learning software used to implement convolutional neural networks. He/she will apply the software to radar and satellite data for neural network training. The student will then assess the effectiveness of the training process and determine the network's ability to capture key trends.,IHPC,Fluid Dynamics,Ronald Chan,"1 Fusionopolis Way, #16-16 Connexis",Engineering & Technology,1.0
21,Physics-Informed ML via Differentiable Physics Models for Inverse Inference from Limited Sensor Placements,"Inverse modelling is of relevance to many industries, including source/contaminant inference across diverse settings such as chemical dispersion in industrial plants, rotting food detection (ethylene gas dispersion) in Agritech, airborne infectious disease transmission in urban scenarios, and defect detection in non-destructive testing. However, the physics is complex while data (typically obtained via sensors) is scarce, and has uncertainty. Hence, this project will focus on using differentiable physics models to develop physics-informed ML methods to solve such inverse problems, and subsequently, to select optimal sensor/data locations for such inverse problems.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student should be able to explain how machine learning models such as neural networks work, and be able to write code to implement said techniques. This
should be transferable skills for any future projects the student might be interested in.
3. Student will also learn basics of numerical simulation, including basic finite difference, and be able to modify said models in a differentiable physics framework","1) Literature review
2) Implement and run Python-based numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on simulated data for parametric set of scenarios from (2) 
4) Implement algorithm to optimize sensor placements to minimize inversion error given limited sensor budget and prior on potential distribution of scenarios.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics","1) Literature review
2) Implement and run Python-based numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on simulated data for parametric set of scenarios from (2) 
4) Implement algorithm to optimize sensor placements to minimize inversion error given limited sensor budget and prior on potential distribution of scenarios.",IHPC,Fluid Dynamics,Ooi Chin Chun,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,1.0
