Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
Edge Caching for 5G-and-Beyond Industrial IoT Networks,"Enabling wireless communications for industrial Internet-of-Things (IIoT) use cases with strict reliability and latency requirements is an open research challenge due to the harsh indoor and outdoor wireless environments in industrial factories.    To enable timely wireless content access for IIoT services, popular content statistics based on the underlying IIoT network traffic are collected. Thereafter, deep learning-based methods are employed to predict popular files that are likely to be requested by end users in IIoT networks. Collectively, such an approach is also known as deep learning-driven edge caching, and it is one of the research areas gaining interest for fifth generation (5G)-and-beyond IIoT networks.   Therefore, this project investigates the applications of edge caching and 5G communications as promising technologies that can potentially be used to support ultra-reliable low-latency content access in 5G-and-beyond IIoT networks.  Specifically, a edge caching strategies are investigated for 5G-and-beyond IIoT networks. Using non-learning based least frequently used (LFU) and least recently used (LRU) algorithms as benchmarks, edge caching strategies are evaluated based on cache hit rate, latency, and energy efficiency using realistic network traffic models.","•	Literature review of IIoT networks and edge caching strategies
•	Investigate deep learning-based techniques for popular content prediction for IIoT use cases.
•	Build suitable deep learning model variants, and fine tune for the proposed application.
•	Train and test with simulated data.
•	Test the proposed solution with real measurement data from a testbed in ARTC, A*STAR.   
",To design and develop deep learning-driven capabilities for intelligent edge computing services in 5G-and-beyond industrial networks,"•	Proficient in C, C++ and Python programming
•	Team player and strong interpersonal and communication (verbal & written) skills. 
•	Strong analytical and problem-solving skills. 
•	Motivated self-starter with a strong enthusiasm to learn. 
•	Results-oriented with a strong sense of ownership in delivering for members and stakeholders. 
•	Prior experience working in data-driven related wireless communications projects is a plus. ",Research Engineer,ARTC,Smart Virtual Systems,Cheng Leong (Lin Qianlong) Lim,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,1
Obstacle detection for safe whole-body motion planning of mobile manipulators,Mobile manipulators are equipped with vision-based sensors such as cameras and LiDARs. The project aims to explore state-of-the-art algorithms for obstacle detection and whole-body motion planning to provide detailed information for collision avoidance in dynamic environments.,"- Able to use ROS / ROS2 proficiently 
- Able to evaluate state-of-the-art literature on obstacle avoidance and whole-body motion planning
- Develop obstacle avoidance and whole-body motion planning functionalities in ROS / ROS2
- Use simulation tools (e.g. Gazebo) to test and evaluate results
- Test and debug code on mobile robots and manipulators","- Evaluate state-of-the-art literature on obstacle avoidance and whole-body motion planning
- Propose development methodology on obstacle avoidance and whole-body motion planning
- Develop functions based on obstacle avoidance and whole-body motion planning
- Test and debug in simulation and actual equipment","- Proficient in Linux, ROS
- OpenCV, ROS2 preferred ","Student will perform a literature review on obstacle avoidance and whole-body motion planning for mobile manipulators and propose a few approaches to implement these algorithms for collision avoidance in dynamic environments. He/She should be able to set up a simulation environment for testing development. Lastly, the algorithms developed should be tested and debugged on the actual robot for trials in a lab setting. ",ARTC,Autonomous Systems & Robotics,Li Zhen Lee,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,1
Learn from haptic teleoperation,"Contact-rich manipulations involve physical interaction between the robot and objects in the environment. Traditional programming methods can be time-consuming and costly.  The deployment of robots in factories is hindered by time-consuming and costly setup. The objective of the project is to understand, learn and transfer haptic skills from human users to robots, reduce the effort of programming contact tasks by using haptic teleoperation, and Improve generalization capabilities with machine learning algorithms to adapt to task uncertainty and variability.","1) The fundamentals of haptic sensing and feedback, which includes understanding how haptic sensors work to measure forces, torques, and other tactile cues, and how haptic feedback devices can be used to provide users with similar sensations.
2) The principles of machine learning and reinforcement learning, which will be used to develop robots that can learn haptic skills from human demonstrations, and to generalize these skills to new tasks and environments.
3) Research skills, the ability to identify research problems, develop and test hypotheses, and communicate research results
4) Problem-solving skills, the ability to identify and solve complex problems
5) Collaboration skills, the ability to work effectively with other team members","1) Collecting demonstration data by using haptic teleoperation system
2) Implementing and testing methods and algorithms on robots
3) Analyzing and interpreting experimental results
4) Writing and presenting research results","Experience with programming languages such as Python;
Basic understanding of machine learning and reinforcement learning;
Ability to work independently and as part of a team;
Experience with robotics and ROS is a plus.","The student will work under the supervision of a senior researcher and will be responsible for collecting demonstration data, implementing and testing methods and algorithms, analyzing and interpreting experimental results, and working collaboratively with team members.",ARTC,Autonomous Systems & Robotics,Shijun Yan,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,1
Control policy training for multi-robot collaborative manipulation,"The project targets to facilitate system setup for multi-robot collaboration with imitation learning, generate control policy from typical demonstrations, refine control policy to correct model errors, and allow flexible adaptation to environmental changes with continuous learning.","1) Fundamentals of robot control
2) System design for multi-robot collaboration
3) Machine learning algorithms for imitation learning and control policy refinement
4) Research skills, the ability to identify research problems, develop and test hypotheses, and communicate research results
5) Problem-solving skills, the ability to identify and solve complex problems
6) Collaboration skills, the ability to work effectively with other team members","1) Collecting demonstration data
2) Implementing and testing methods and algorithms on robots
3) Analyzing and interpreting experimental results
4) Writing and presenting research results","Experience with programming languages such as Python;
Basic understanding of machine learning and reinforcement learning;
Ability to work independently and as part of a team;
Experience with robotics and ROS is a plus.","The student will work under the supervision of a senior researcher and will be responsible for collecting demonstration data, implementing and testing methods and algorithms, analyzing and interpreting experimental results, and working collaboratively with team members.",ARTC,Autonomous Systems & Robotics,Shijun Yan,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,1
Development of AI tool for efficacious pathway optimisation ,"The production of novel or valuable molecules via the customisation of biological pathways can be substantially enhanced by DNA manipulation technologies. However, evaluating the net effect of pathway modifications on production yield remains a challenge: current black-box AI approaches cannot make grounded or good predictions reliably, whereas pathway modelling requires mechanistic details that are unavailable for most biochemical reactions, limiting its industrial applicability. To complement the weaknesses of each approach, this project focuses the development of an AI tool for the efficacious optimisation of pathways, while allowing for the exploration of underlying mechanisms. Data: Synthetic time-series data of metabolites concentration from simulating the reactions of synthetic pathway. Expected outcomes: Deployable, well-annotated, & neat python codes implementing explainable AI method for pathway optimization (specific guidance will be provided); demonstrated application on Windows server with proper documentation.",The student will learn new skills in AI and modeling methods for biological network analysis.,"Independent thinking, team playing and research documentation","Good programming skills in Python, R or C++
Good interpersonal skills and creativity
Background in biology or molecular biology is a plus","Development and applications of codes and models to study dynamic regulation of complex biological networks. The student will work closely with research advisor. While guidance is provided, student is required to work indepently and creatively.",BII,Analysis/HuPo (Computational Biology & Omics Lab),Kumar Selvarajoo,"31 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,1
Development of process-driven synthetic data generator for omics application,"Here, the student will study the statistical distribution of transcriptome-wide gene expressions of a given cell type (e.g. immune cell) and derive a AI or mechanistic model to learn and regenerate the gene expressions for (single gene) mutated condition. The results will be tested on actual mutated transcriptome dataset.

",The student will learn new skills in synthetic omics data generation.,"Independent thinking, team playing and research documentation","Good programming skills in Python, R or C++
Good interpersonal skills and creativity
Background in biology or molecular biology is a plus","Development and applications of codes and models to study dynamic expressions of genes. The student will work closely with research advisor. While guidance is provided, student is required to work indepently and creatively.",BII,Analysis/HuPo (Computational Biology & Omics Lab),Kumar Selvarajoo,"32 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,1
Transcriptomics Analysis of Lifespan Regulating Drug Response,"High-throughput gene expression sequencing and analyses have dominated much of biological research in the last decade. The major challenge here is to tackle the large dataset into a manageable way for novel and key biological inference. There has been much effort in the development of bioinformatic and machine learning tools to interpret the data, especially to identify genes that act differently between any two samples, for example, between normal and disease cells. In this project, we will investigate the transcriptional changes induced by Rapamycin, an FDA-approved drug initially used as an immunosuppressant, and sulforaphane, a natural chemical project; both have shown promising results in extending lifespan or slowing aging process in a diverse range of organisms. The student will use data analytical tools, such as, linear/non-linear correlations, PCA, random forest, t-SNE, SOM and Gene Ontology, to analyze the whole transcriptome response (over 20,000 genes) drug-treated samples. Datasets from worms and mice treated with rapamycin/sulforaphane or a combination of these will be provided. In particular, the student will focus on the role of non-coding RNAs, such as transposons, in aging process. Through the project, the student will learn the principles and usage of data analytic tools and basic aging biology.
 
","The student will learn data analytics and aging biology. Elucidation of novel regulatory genes (coding and non-coding), their sequences, and possible biological pathway enrichment.","Independent thinking, team playing and research documentation","Good programming skills in Python, R or C++
Good interpersonal skills and creativity
Background in biology or molecular biology is a plus","Development and applications of codes and models to study dynamic expressions of genes in aging datasets. The student will work closely with research advisor. While guidance is provided, student is required to work indepently and creatively.",BII,Analysis/HuPo (Computational Biology & Omics Lab),Kumar Selvarajoo,"33 Biopolis Street, #07-01 Matrix, Singapore 138671",Physical Sciences,1
Sparse modelling to identify biomarkers related to breast cancer therapeutic response from multi-omics data,"Breast cancer (BC) is a highly heterogeneous tumor type that shows different clinical behavior and responses to same treatment. Clinical management of BC patients remains challenging due to underlying tumor subtypes (eg, LumA, LumB, Her2, Basal) with lack of specific early-stage clinical biomarkers [1]. Thus, there is an urgent need to develop robust strategies to improve diagnosis, prognosis, and treatment for early diagnosis of BC. Recent advances in multi-omics (e.g., genomics, transcriptomics, proteomics) sequencing platforms provide opportunities to study breast cancer at different molecular levels to discover novel biomarkers and identify new therapeutic targets [2, 3]. Several studies have developed machine learning methods to stratify breast cancer subtypes at single-omics level using common risk predictors [4-6]. However, single omics analyses are limited to correlations and primarily reflect reactive processes rather than causal one. Integrating different omics data may provide more biological insights, for example, further improved prediction of the breast cancer subtypes. Many data-driven approaches to multi-omics analysis are aimed at patient stratification, biomarker discovery, pathway analysis and drug discovery [2]. However, multi-omics data are high-dimensional and very noisy, and most existing studies rarely incorporate knowledge of biological pathways or structural relationships between genes into modelling algorithms. Genes act together in signalling, regulatory pathway, and protein complexes. In addition, robust and interpretable strategies are highly demanded, can help to explore hidden biological patterns which may lead to new biological hypotheses. The objective of this study is to develop a robust multi-omics data analysis method incorporating knowledge of biological pathways/structural relationships between genes to discover disease-specific new trans-omics biomarkers, disease classification, drug repurposing and drug discovery.

Objectives with specific aims and possible outcome.  The main objectives of this research project are as follows:
1. Develop new computational methods for integrating multi-omics datasets in a data-driven and biologically structured manner.
2. Identify novel disease-specific trans-omics associations that map to differentially enriched pathways, subnetworks, and new connections.
3. Develop free software to discover disease-specific trans-omics connections that can be widely applied to any disease analysis. 

Expected outcome:  Our proposed method enables interpretable analysis of multi-omics data and is expected to be published in high-impact journals such as Nature communication, Bioinformatics, and Nucleic Acid Res. etc.

Methods and Materials:  Datasets: TCGA BRCA dataset, https://github.com/GaoLabXDU/MultiOmicsIntegrationStudy/PPI Network Data: We downloaded human PPI from StringDB (v11.5) as the graph structure input, which consisted of 19,385 vertices and 11,938,498 edges. Data QC and Visualization: PCA, Clustering, Lasso, etc. Integrative approaches: CCA (Canonical Correlation Analysis), Multi-task CCA, etc. [7].

References:
[1] Perou, Charles M., et al. ""Molecular portraits of human breast tumours."" nature 406.6797 (2000): 747-752.
[2] Duan, Ran, et al. ""Evaluation and comparison of multi-omics data integration methods for cancer subtyping."" PLoS computational biology 17.8 (2021): e1009224.
[3] Hasin, Yehudit, Marcus Seldin, and Aldons Lusis. ""Multi-omics approaches to disease."" Genome biology 18.1 (2017): 1-15. 
[4] Parker, Joel S., et al. ""Supervised risk predictor of breast cancer based on intrinsic subtypes."" Journal of clinical oncology 27.8 (2009): 1160. 
[5] CASCIANELLI, SILVIA. ""RNA sequencing-based computational subtyping of breast cancer for clinical outcome prediction."" (2018).
[6] Szyf, Moshe. ""DNA methylation signatures for breast cancer classification and prognosis."" 

Requirement: NIL
",The student will learn basic cancer biology and data analytics application.,"Independent thinking, team playing and research documentation","Good programming skills in Python, R or C++
Good interpersonal skills and creativity
Background in biology or molecular biology is a plus","Development and applications of codes and models to study biological omics datasets. The student will work closely with research advisor. While guidance is provided, student is required to work indepently and creatively.",BII,Analysis/HuPo (Computational Biology & Omics Lab),Kumar Selvarajoo,"34 Biopolis Street, #07-01 Matrix, Singapore 138671",Biomedical Sciences,1
Virtual screening of Traditional Chinese Medicine (TCM) ingredients against disease targets,Virtual screening of Traditional Chinese Medicine (TCM) ingredients against disease targets,"Traditional Chinese Medicine (TCM) ingredients, Virtual screening","Verify TCM ingredients, perform virtual screening of TCM ingredients against disease targets","good at linux, shell scripting, python/perl programming","full time, at least 4 month ",BII,BSMD,Hao Fan,"30 Biopolis Street, Matrix #07-01, Singapore 138671",Computing & Information Sciences,1
Protein-protein interaction machine learning model,Developing protein-protein interaction machine learning model,"protein-protein interface modeling, machine learning","collect data of protein-protein complexes, explore machine leearning models for data analysis","good at linux, shell scripting, python/perl programming, have experience in machine learning ","full time, at least 4 month ",BII,BSMD,Hao Fan,"30 Biopolis Street, Matrix #07-01, Singapore 138671",Computing & Information Sciences,1
Computational Analysis of Spatial Multi-omics Data,"Spatial transcriptomics is a cutting-edge technology that allows researchers to study the gene expression patterns within tissues in their native spatial context. Many diseases, including cancer, are characterized by significant heterogeneity within tissues. The intern will participate in the development of machine learning algorithms and software tools for quantifying the immune cell phenotypes from tumor tissue images.","The intern will have the opportunity to learn bioinformatics software development process, and prepare for a possible career in this exciting field. He/she will have the opportunity to work in a highly interdisciplinary and stimulating environment, and learn how computational biology can help clinicians to fight cancers.","The candidate will design, program, and test software tools for storing and analyzing molecular profiles and tissue images collected from cancer patients. He/she will also have to perform research on current clustering algorithms, and benchmark the performance of these methods.","The intern must have taken undergraduate-level courses in computational biology/bioinformatics, genomics, and machine learning. He/she must be proficient in R, Bioconductor, Python, and comfortable to work under the Linux environment. Prior knowledge/training in cell biology, image processing, or web programming (HTML and Javascript) are preferred but not required.","The intern will develop novel computational methods and tools for analyzing multiplex tissue images, and spatial transcriptomic and metabolomic data collected from cancer patients. ",BII,Cellular Image Informatics Division,Loo Lit Hsin,"30 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,1
Development of the cellXpress software,"cellXpress is a biologist-friendly image analysis and visualization software tool specifically designed for multiplexed fluorescence (MxF) cellular and tissue images. The intern will participate in the development of the cellXpress software, including graphical user interfaces, image file loader, and 3D data visualization.","The intern will have the opportunity to learn software development, advanced programming skills, and data processing methods. He/she will have the opportunity to work in a highly interdisciplinary and stimulating environment, and learn how computational biology can help clinicians to fight cancers.","The candidate will design, program, and test software tools for processing large tissue images. He/she will also have to perform research on image processing and 3D graphics rendering algorithms, and benchmark the performance of these methods.","The intern must have strong knowledge in image and data processing, algorithms, and know how to perform C++ and Python programming under the Linux environment. Prior knowledge in OpenGL is preferred but not required.","The intern will participate in the development of the cellXpress software, including graphical user interfaces, image file loader, and 3D data visualization.",BII,Cellular Image Informatics Division,Loo Lit Hsin,"30 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,1
